YEAR,STATION,Entries 06:00 to 10:00,Exits 06:00 to 10:00,Entries 10:00 to 15:00,Exits 10:00 to 15:00,Entries 15:00 to 19:00,Exits 15:00 to 19:00,Entries 19:00  to 06:00,Exits 19:00  to 06:00,Entries 24 hours,Exits 24 hours
2016,Aberdeen Station,-,-,-,-,-,-,-,-,0,0
2016,Adamstown Station,-,-,-,-,-,-,-,-,60,60
2016,Albion Park Station,-,-,-,-,-,-,-,-,250,210
2016,Allawah Station,1650,140,590,360,340,1290,240,780,2820,2570
2016,Arncliffe Station,1390,180,450,290,360,1020,170,610,2370,2100
2016,Artarmon Station,3520,850,1160,940,1320,2850,370,1350,6370,5990
2016,Ashfield Station,5870,2360,3010,2100,3190,5280,1140,3130,13210,12870
2016,Asquith Station,850,300,240,100,290,580,40,220,1420,1200
2016,Auburn Station,4220,1980,2990,2390,2910,4490,1490,2560,11610,11420
2016,Austinmer Station,-,-,-,-,-,-,-,-,160,160
2016,Awaba Station,-,-,-,-,-,-,-,-,20,10
2016,Banksia Station,1170,120,230,170,240,930,130,420,1770,1640
2016,Bankstown Station,3380,1900,2250,2150,2220,3680,860,1330,8710,9060
2016,Bardwell Park Station,860,50,180,140,130,670,70,250,1240,1110
2016,Bargo Station,-,-,-,-,-,-,-,-,70,70
2016,Bathurst Station,-,-,-,-,-,-,-,-,80,60
2016,Beecroft Station,1410,170,330,260,260,1160,70,390,2070,1980
2016,Bellambi Station,-,-,-,-,-,-,-,-,120,120
2016,Belmore Station,1480,330,660,460,420,1280,260,600,2820,2670
2016,Berala Station,1080,110,380,290,210,1000,190,390,1860,1790
2016,Beresfield Station,-,-,-,-,-,-,-,-,170,150
2016,Berowra Station,1250,70,140,130,110,1000,90,250,1590,1450
2016,Berry Station,-,-,-,-,-,-,-,-,70,70
2016,Beverly Hills Station,1450,260,410,230,340,1180,170,500,2370,2170
2016,Bexley North Station,840,60,190,140,120,660,80,250,1230,1110
2016,Birrong Station,680,120,250,150,130,530,60,210,1120,1010
2016,Blackheath Station,-,-,-,-,-,-,-,-,250,210
2016,Blacktown Station,7040,3380,3630,3290,4070,7970,1900,2720,16640,17360
2016,Blaxland Station,500,40,90,90,80,460,80,130,750,720
2016,Bomaderry Station,-,-,-,-,-,-,-,-,340,280
2016,Bombo Station,-,-,-,-,-,-,-,-,10,20
2016,Bondi Junction Station,11530,5500,4510,4730,6780,10710,2750,4300,25570,25240
2016,Booragul Station,-,-,-,-,-,-,-,-,50,60
2016,Bowral Station,-,-,-,-,-,-,-,-,270,220
2016,Branxton Station,-,-,-,-,-,-,-,-,0,0
2016,Broadmeadow Station,300,120,190,150,170,240,110,160,770,670
2016,Bullaburra Station,-,-,-,-,-,-,-,-,80,60
2016,Bulli Station,-,-,-,-,-,-,-,-,180,160
2016,Bundanoon Station,-,-,-,-,-,-,-,-,10,10
2016,Burradoo Station,-,-,-,-,-,-,-,-,0,10
2016,Burwood Station,6120,3470,4340,3630,4730,6840,1830,3480,17020,17420
2016,Cabramatta Station,4010,890,2170,1860,1270,3600,750,1630,8200,7980
2016,Camellia Station,-,-,-,-,-,-,-,-,90,110
2016,Campbelltown Station,3050,860,880,890,860,2970,910,990,5700,5710
2016,Campsie Station,3560,900,2080,1530,1350,3410,800,1820,7790,7660
2016,Canley Vale Station,1680,160,580,390,250,1340,280,740,2790,2630
2016,Canterbury Station,1110,280,580,290,420,880,180,570,2290,2020
2016,Cardiff Station,280,70,120,120,90,250,110,140,600,580
2016,Caringbah Station,1590,630,550,420,670,1330,200,470,3010,2850
2016,Carlingford Station,-,-,-,-,-,-,-,-,390,310
2016,Carlton Station,1850,140,490,360,300,1440,230,720,2870,2660
2016,Carramar Station,250,50,130,110,80,210,50,80,510,450
2016,Casula Station,-,-,-,-,-,-,-,-,340,300
2016,Central Station,13200,51650,21590,29370,53100,21050,20930,8190,108820,110260
2016,Chatswood Station,6590,9470,5850,6230,11310,9690,3670,3450,27420,28840
2016,Cheltenham Station,-,-,-,-,-,-,-,-,1360,1170
2016,Chester Hill Station,530,190,240,170,230,450,80,160,1080,970
2016,Circular Quay Station,3060,11230,5460,7720,12960,5990,5570,1730,27050,26670
2016,Civic Station,-,-,-,-,-,-,-,-,30,10
2016,Clarendon Station,-,-,-,-,-,-,-,-,90,100
2016,Clyde Station,280,260,150,140,270,270,80,110,780,780
2016,Coalcliff Station,-,-,-,-,-,-,-,-,10,0
2016,Cockle Creek Station,-,-,-,-,-,-,-,-,30,20
2016,Coledale Station,-,-,-,-,-,-,-,-,30,30
2016,Como Station,-,-,-,-,-,-,-,-,830,710
2016,Concord West Station,1270,520,360,280,570,1040,120,400,2320,2240
2016,Coniston Station,140,50,40,40,50,90,50,50,280,230
2016,Corrimal Station,-,-,-,-,-,-,-,-,190,170
2016,Cowan Station,-,-,-,-,-,-,-,-,70,70
2016,Cringila Station,-,-,-,-,-,-,-,-,10,10
2016,Cronulla Station,1180,290,520,480,390,1020,240,430,2330,2220
2016,Croydon Station,1350,260,360,290,470,1100,130,430,2310,2080
2016,Dapto Station,310,50,80,70,50,310,110,100,550,530
2016,Denistone Station,-,-,-,-,-,-,-,-,680,590
2016,Domestic Station,1790,2130,2110,2020,2080,2260,1170,640,7150,7050
2016,Doonside Station,1830,140,400,310,240,1500,220,470,2690,2420
2016,Dora Creek Station,-,-,-,-,-,-,-,-,50,40
2016,Douglas Park Station,-,-,-,-,-,-,-,-,20,30
2016,Dulwich Hill Station,1480,290,480,330,440,1140,190,580,2590,2340
2016,Dundas Station,-,-,-,-,-,-,-,-,220,160
2016,Dungog Station,-,-,-,-,-,-,-,-,20,10
2016,East Hills Station,630,40,90,80,80,520,60,130,860,770
2016,East Maitland Station,-,-,-,-,-,-,-,-,40,50
2016,East Richmond Station,-,-,-,-,-,-,-,-,250,330
2016,Eastwood Station,3940,880,1710,1440,1510,3670,780,1820,7940,7810
2016,Edgecliff Station,4000,2540,1840,1610,2710,3450,830,1300,9380,8900
2016,Edmondson Park Station,-,-,-,-,-,-,-,-,1030,960
2016,Emu Plains Station,1180,120,140,130,140,1040,150,220,1610,1510
2016,Engadine Station,810,170,200,190,180,790,130,180,1320,1330
2016,Epping Station,6470,1760,1950,1470,2230,5640,700,2490,11350,11360
2016,Erskineville Station,1480,360,430,320,510,1050,220,560,2640,2290
2016,Exeter Station,-,-,-,-,-,-,-,-,10,0
2016,Fairfield Station,3490,1070,1610,1440,1330,3290,820,1270,7250,7070
2016,Fairy Meadow Station,-,-,-,-,-,-,-,-,110,110
2016,Fassifern Station,240,50,90,80,50,210,40,50,420,390
2016,Faulconbridge Station,-,-,-,-,-,-,-,-,140,120
2016,Flemington Station,1860,620,950,460,810,1470,310,1010,3930,3560
2016,Gerringong Station,-,-,-,-,-,-,-,-,60,50
2016,Glenbrook Station,-,-,-,-,-,-,-,-,560,530
2016,Glenfield Station,2890,770,1090,530,520,2900,400,930,4900,5130
2016,Gordon Station,4090,1010,1020,870,1340,3410,320,1260,6770,6550
2016,Gosford Station,2620,1030,830,660,1100,2520,710,990,5260,5200
2016,Goulburn Station,-,-,-,-,-,-,-,-,30,30
2016,Granville Station,2660,1090,1340,920,1410,2540,880,1400,6290,5950
2016,Green Square Station,3190,4170,1480,1170,4420,2600,650,1400,9740,9340
2016,Greta Station,-,-,-,-,-,-,-,-,0,0
2016,Guildford Station,1560,240,560,440,430,1290,310,580,2860,2550
2016,Gymea Station,1470,270,370,290,320,1220,150,370,2310,2150
2016,Hamilton Station,380,710,420,380,670,330,140,150,1610,1570
2016,Harris Park Station,1340,230,430,340,410,1110,290,690,2470,2370
2016,Hawkesbury River Station,-,-,-,-,-,-,-,-,250,210
2016,Hazelbrook Station,-,-,-,-,-,-,-,-,380,360
2016,Heathcote Station,390,60,90,70,50,330,50,110,580,570
2016,Helensburgh Station,-,-,-,-,-,-,-,-,600,570
2016,Hexham Station,-,-,-,-,-,-,-,-,0,10
2016,High Street Station,-,-,-,-,-,-,-,-,20,20
2016,Hilldale Station,-,-,-,-,-,-,-,-,0,0
2016,Holsworthy Station,2520,190,330,280,270,2120,290,660,3410,3250
2016,Homebush Station,1250,260,480,330,450,1030,230,790,2410,2410
2016,Hornsby Station,6070,2310,2340,2190,2830,5980,950,2000,12190,12480
2016,Hurlstone Park Station,930,80,270,180,170,700,80,290,1450,1250
2016,Hurstville Station,8840,2520,5070,4200,4570,9590,1770,4540,20250,20850
2016,Ingleburn Station,1950,530,530,450,560,1780,390,640,3430,3400
2016,International Station,1170,2050,1140,1020,840,930,610,480,3760,4480
2016,Jannali Station,1970,160,370,350,250,1700,160,480,2750,2690
2016,Katoomba Station,260,170,270,460,350,270,90,120,970,1020
2016,Kembla Grange Station,-,-,-,-,-,-,-,-,0,0
2016,Kiama Station,180,50,120,120,70,150,40,60,410,380
2016,Killara Station,1590,170,490,320,310,1150,70,570,2460,2210
2016,Kings Cross Station,5180,4890,3120,2670,5070,5530,2210,3020,15580,16110
2016,Kingsgrove Station,1240,510,490,310,620,1080,200,470,2550,2370
2016,Kingswood Station,990,620,530,510,680,850,240,270,2440,2250
2016,Kirrawee Station,910,150,270,190,180,730,80,220,1440,1290
2016,Kogarah Station,4370,3120,2930,2100,3480,4010,1120,2380,11900,11610
2016,Koolewong Station,-,-,-,-,-,-,-,-,140,100
2016,Kotara Station,-,-,-,-,-,-,-,-,30,30
2016,Lakemba Station,1780,330,1020,770,640,1670,460,860,3900,3630
2016,Lapstone Station,-,-,-,-,-,-,-,-,180,140
2016,Lawson Station,-,-,-,-,-,-,-,-,190,190
2016,Leightonfield Station,-,-,-,-,-,-,-,-,260,310
2016,Leppington Station,980,50,120,120,80,790,120,250,1300,1210
2016,Leumeah Station,1900,110,360,290,170,1790,400,550,2830,2740
2016,Leura Station,140,40,90,100,130,130,70,80,430,350
2016,Lewisham Station,1450,410,430,250,530,1050,130,510,2540,2220
2016,Lidcombe Station,5410,1980,2650,1980,2880,5030,1410,3070,12350,12060
2016,Linden Station,-,-,-,-,-,-,-,-,10,20
2016,Lindfield Station,2220,370,670,540,570,1820,150,660,3610,3390
2016,Lisarow Station,-,-,-,-,-,-,-,-,210,200
2016,Lithgow Station,-,-,-,-,-,-,-,-,110,60
2016,Liverpool Station,2780,2530,2080,1890,2580,2960,900,1060,8340,8440
2016,Lochinvar Station,-,-,-,-,-,-,-,-,0,0
2016,Loftus Station,-,-,-,-,-,-,-,-,640,590
2016,Lysaghts Station,-,-,-,-,-,-,-,-,0,0
2016,Macarthur Station,1240,540,590,630,630,1290,360,420,2820,2880
2016,Macdonaldtown Station,660,370,240,220,400,620,130,320,1430,1530
2016,Macquarie Fields Station,660,50,160,110,150,550,130,220,1100,930
2016,Macquarie Park Station,640,3150,570,530,3100,720,380,240,4690,4640
2016,Macquarie University Station,1880,4530,2660,3910,5940,3290,1800,1160,12280,12890
2016,Maitland Station,-,-,-,-,-,-,-,-,360,340
2016,Marayong Station,620,150,150,110,180,480,70,170,1020,910
2016,Marrickville Station,2090,560,800,620,820,1840,330,880,4040,3900
2016,Martin Place Station,790,18300,3340,4010,15400,2220,3450,770,22980,25300
2016,Martins Creek Station,-,-,-,-,-,-,-,-,0,0
2016,Marulan Station,-,-,-,-,-,-,-,-,0,0
2016,Mascot Station,2930,5530,2080,1450,5600,2850,1110,1930,11720,11760
2016,Meadowbank Station,2500,800,850,510,880,1840,290,1020,4520,4170
2016,Medlow Bath Station,-,-,-,-,-,-,-,-,30,40
2016,Menangle Park Station,-,-,-,-,-,-,-,-,0,0
2016,Menangle Station,-,-,-,-,-,-,-,-,0,0
2016,Merrylands Station,2710,600,1190,1060,900,2560,650,1030,5450,5250
2016,Metford Station,-,-,-,-,-,-,-,-,70,70
2016,Milsons Point Station,2660,2600,1730,1530,2870,2710,830,1230,8090,8070
2016,Mindaribba Station,-,-,-,-,-,-,-,-,0,0
2016,Minnamurra Station,-,-,-,-,-,-,-,-,110,90
2016,Minto Station,2100,280,450,390,360,1930,480,660,3390,3260
2016,Miranda Station,1250,860,810,960,1020,1440,410,440,3490,3700
2016,Mittagong Station,-,-,-,-,-,-,-,-,140,140
2016,Morisset Station,460,60,130,140,90,390,100,120,780,710
2016,Mortdale Station,2440,220,620,470,390,1900,280,770,3730,3360
2016,Moss Vale Station,-,-,-,-,-,-,-,-,170,140
2016,Mount Colah Station,-,-,-,-,-,-,-,-,500,500
2016,Mount Druitt Station,4500,730,1300,1130,880,4370,850,1170,7530,7400
2016,Mount Kuring-gai Station,-,-,-,-,-,-,-,-,250,240
2016,Mount Victoria Station,-,-,-,-,-,-,-,-,160,190
2016,Mulgrave Station,-,-,-,-,-,-,-,-,350,350
2016,Museum Station,1320,7090,2180,2580,6800,1970,1920,860,12220,12500
2016,Muswellbrook Station,-,-,-,-,-,-,-,-,20,20
2016,Narara Station,-,-,-,-,-,-,-,-,440,350
2016,Narwee Station,1220,60,310,180,160,890,130,470,1820,1600
2016,Newcastle Station,-,-,-,-,-,-,-,-,20,10
2016,Newtown Station,3420,1550,1530,1610,2120,4120,1440,1680,8510,8960
2016,Niagara Park Station,-,-,-,-,-,-,-,-,150,120
2016,Normanhurst Station,1050,270,310,170,400,790,60,260,1820,1490
2016,North Ryde Station,260,1520,290,290,1480,330,150,150,2180,2290
2016,North Strathfield Station,1600,410,390,310,560,1350,190,590,2740,2660
2016,North Sydney Station,3220,21540,5020,5030,20460,4090,2810,1570,31510,32230
2016,North Wollongong Station,470,680,460,500,690,430,250,240,1870,1850
2016,Oak Flats Station,230,80,60,60,110,170,60,100,460,410
2016,Oatley Station,1390,180,350,230,280,1210,110,390,2130,2010
2016,Olympic Park Station,260,1620,460,410,1570,320,230,180,2520,2530
2016,Otford Station,-,-,-,-,-,-,-,-,50,50
2016,Ourimbah Station,160,110,80,60,90,130,40,60,370,360
2016,Padstow Station,2680,380,650,430,510,2280,350,860,4190,3950
2016,Panania Station,970,230,230,150,240,780,110,240,1550,1400
2016,Parramatta Station,9370,16230,7020,6750,16930,11100,3240,4160,36560,38240
2016,Paterson Station,-,-,-,-,-,-,-,-,10,0
2016,Pendle Hill Station,2030,330,500,380,440,1560,240,650,3210,2920
2016,Pennant Hills Station,1890,540,580,440,680,1810,180,600,3330,3390
2016,Penrith Station,3840,1440,1230,1190,1420,3980,890,1000,7380,7610
2016,Penrose Station,-,-,-,-,-,-,-,-,0,0
